n,TimeTaken(seconds)
10,0.00000138
50,0.00000840
100,0.00001594
500,0.00006242
1000,0.00011342
3000,0.00037402
5000,0.00065414
6000,0.00079430
7000,0.00094799
8000,0.00107637
